CBL,IRF1,ROBO2,TET2,DNMT3A,CHEK2,PIK3CA,TP53,STAG2,EP300,ETNK1,JAK2,SRSF2,EZH2,SF3B1,CSF3R,GATA2,MYC,CREBBP,NRAS,ASXL1,RUNX1,CEBPA,U2AF1,IDH2,BCOR,NPM1,U2AF2,RB1,ATRX,MPL,DDX41,STAG1,CTCF,PHF6,ZRSR2,CALR,ZNF318,WT1,BRCC3,CUX1,PTPN11,SPRED2,STAT5A,ZBTB33,MGA,SH2B3,KRAS,LUC7L2,BCORL1,NF1,KMT2C,KIT,SETBP1,SUZ12,RAD21,RAC1,ROBO1,IDH1,ARID2,CDKN1B,PPM1D,CSNK1A1,RRAS,DHX33,CDKN2A,ASXL2,GNAS,KDM6A,SMC1A,KMT2D,ETV6,NF2,DDX54,GNB1,EGFR,RAD50,BRAF,STAT3,DNMT3B,NOTCH1,ARID1A,EED,PRPF8,NIPBL,TERT,NFE2,SMG1,SF1,IRF8,KDM5C,DICER1,GATA1,DDX4,CDKN2B,FLT3,SMC3,MLL,PTEN,ZMYM3,SETD2,SAMHD1,PAX5,SRCAP,IRF4,H3F3A,DDX23,RBBP4,PAPD5,FAM175A,CDK4,PRPF40A,NOTCH2,CSF1R,PTPRF,JAK3,BAP1,WHSC1,HIPK2,NXF1,CDKN2C,BCL10,ABL1,JARID2
0.24281049,-0.068057075,0.13126653,0.16630886,-0.017506763,0.22075473,-0.07610203,-0.17541103,-0.15489677,0.04207143,0.0996553,0.21573596,-0.620431,0.1098983,-0.03594081,0.2270134,-0.07274915,-0.3077844,0.15023047,-0.013964526,0.23595175,-0.30026966,0.1777831,0.049523138,0.06668485,-0.18239738,-0.031540193,-0.09023455,-0.020167554,0.21983422,-0.40087897,0.051685948,-0.07188912,0.06761402,-0.16704556,-0.3680912,0.27791697,-0.15926567,-0.076654986,0.14353567,0.14373384,0.119847335,-0.008737374,-0.15410738,-0.21594693,-0.19315265,-0.021894623,0.24846984,-0.04460067,0.104768224,-0.116249874,0.12815377,0.2582855,0.09688765,-0.21864648,-0.1720021,0.14874297,0.17926127,0.015538414,0.10420146,-0.026059963,0.19113526,0.08208837,0.3820787,-0.07333004,-0.009476358,-0.023073768,-0.095909946,0.22098047,0.10692536,0.31004864,-0.10390821,-0.09264566,-0.13298757,0.26772395,0.12612838,-0.08894913,0.53676814,-0.242141,0.31398603,-0.19309072,-0.13143611,0.017273089,-0.22752349,-0.14445421,-0.19835475,0.03412584,-0.050141267,0.096358046,-0.023088792,0.041706767,0.16501872,-0.06874099,-0.22951007,-0.1422746,-0.4568424,-0.2595161,0.03432299,0.19944702,-0.1477705,0.060486607,0.21432534,-0.26464888,0.0024523833,-0.32250315,0.09241252,0.10510117,-0.017575294,-0.0625794,0.059064582,-0.037288886,-0.2788616,0.16824499,0.17953497,0.030992439,-0.10731722,-0.016775597,-0.10998461,0.15137248,-0.23870488,0.026558567,0.3382707,0.16052945,0.13209756
0.34000796,0.32290038,0.3353467,0.15035547,-0.0958551,0.15632434,-0.011490979,0.30231935,0.152328,0.26522806,-0.05263625,0.20973496,-0.20727505,-0.10274304,0.08413114,0.31705096,-0.19471727,0.014578723,0.029738327,0.30657488,0.1807684,-0.14712508,-0.05415729,0.32279247,-0.061691605,-0.2963876,0.25796726,0.29861742,0.030205948,-0.016939057,-0.07279363,0.3659157,0.030744283,0.035800163,0.09989745,-0.12035313,0.26058438,-0.07746605,0.10562827,0.37594607,0.2914227,0.13621186,0.281604,0.22898689,0.16100714,0.0130290175,0.16956903,-0.07598946,0.056722365,0.21574141,0.13157505,-0.08806896,0.0059057754,0.27954155,0.17508583,-0.031987883,0.18505278,0.24167116,-0.043317333,-0.08851679,0.13859832,0.34326163,-0.03506109,0.43668997,0.19276987,0.0836033,0.13597558,-0.065275356,0.11752898,0.31086043,0.096481055,-0.14193761,-0.07697502,0.022932166,-0.1222975,0.14467205,0.16817868,0.040457148,-0.072657146,-0.11830156,0.24850765,0.05083788,0.22459207,-0.14754105,-0.17969078,0.01674787,0.35608837,0.12463832,0.22686173,0.18383223,0.18002905,0.13155007,-0.097845696,0.0569751,0.06758156,-0.474392,-0.12984946,0.18106632,0.29939878,-0.1079392,-0.08944087,-0.034453765,-0.0013255305,0.1405346,0.10140749,-0.1559152,0.06304712,-0.06257103,-0.2092219,0.14730361,0.3679657,-0.006395255,0.64189833,0.2747444,0.24554522,0.3158581,0.18472189,0.32804886,0.12631842,-0.111589834,0.30720654,0.14267726,0.1974019,0.26338738
-0.059319668,-0.26006454,0.1452849,-0.02118392,-0.20322894,0.002910903,0.16409612,0.02986403,-0.16024159,0.22750449,-0.04637089,0.0543785,0.56515074,0.13892762,0.17551549,-0.13103859,0.033182014,0.30814365,0.05192585,-0.14687257,0.1442258,-0.45530683,-0.24716727,-0.0034653,0.0038059002,0.24686426,0.031589966,-0.18531574,0.28387216,0.33246785,0.088065065,0.007729068,0.11150924,0.10866185,-0.06869665,0.11987295,0.0008492771,0.092139244,-0.08194588,-0.108298026,0.0393114,0.18703775,0.11337333,-0.10734362,0.3116289,0.1450054,-0.21184447,-0.013113754,0.13883056,-0.28428847,-0.065396704,0.14554223,0.16792578,0.048483033,0.21045269,0.031132761,0.022081373,-0.13099456,-0.13380367,0.38576275,0.1757787,-0.17539538,0.097083904,-0.109763555,-0.14762586,0.13981731,0.21920323,0.036040325,0.075961344,-0.053211175,-0.15355936,-0.03995366,0.04649197,0.01658633,-0.02729573,0.048842818,-0.15828274,0.42424116,0.21908198,0.066375755,-0.060223877,-0.15423585,0.5126182,-0.22545393,-0.039680175,-0.43791685,-0.15136145,0.008951327,0.15172622,-0.21910755,-0.019375546,0.14815554,-0.18579672,0.27278474,-0.063573025,-0.27071783,0.11710144,0.07215376,0.06285796,-0.37518683,0.24083869,-0.012900203,-0.116292804,-0.21367587,-0.1329663,0.2769149,-0.1813253,0.09927994,0.04044059,0.37557125,0.07289144,-0.023113035,-0.024278082,-0.04311363,-0.14593908,-0.023827234,-0.36936674,-0.09542602,-0.20913677,0.01882534,-0.1718068,0.15035723,0.20205188,0.02054378
-0.091385975,-0.055541135,0.007208279,0.20829439,0.14005873,-0.014490758,-0.04105647,-0.23244244,0.14704081,-0.086527556,-0.08195408,-0.12617278,-0.5502665,-0.4730459,-0.09994791,0.22810486,-0.21072657,-0.2488814,0.24405053,0.17539775,-0.08930282,-0.2148161,-0.14500389,-0.17083687,-0.2298868,-0.019183366,0.027023645,0.071753666,0.016790166,0.00304215,0.0243887,0.37470555,-0.24104604,-0.3369842,0.11581934,0.012870285,0.106133774,-0.07117714,-0.007807865,0.09620979,0.03408925,-0.023043461,-0.2009899,-0.041379243,-0.12095505,-0.1947082,0.0080582425,-0.13626002,-0.20605318,0.16660728,0.14813633,-0.02657257,-0.018296931,-0.19603433,-0.074796535,0.28779632,-0.021132968,0.21358466,-0.08031356,-0.008812386,0.28740305,0.17721465,-0.15234824,0.26097736,-0.12755795,-0.025715834,0.11703029,-0.19936392,-0.0191483,-0.11535422,0.017818673,0.044533595,-0.058384743,-0.13522255,-0.17314266,-0.44030938,-0.16242574,0.09913866,0.056028694,-0.3496958,0.13353448,0.0434541,-0.23797439,0.19188346,-0.09526568,-0.20752063,0.26288694,-0.4537273,-0.052602336,-0.41563296,-0.3742588,-0.17605187,-0.23851597,0.093312375,-0.14277998,-0.10107658,-0.112665,-0.3149828,0.24276066,-0.10755268,0.0271884,0.29900363,-0.14497791,-0.14157222,0.033183273,-0.090729356,-0.029508084,-0.042154193,-0.059555408,-0.08471137,0.29989055,0.11964931,0.112560034,-0.08506138,-0.24661897,-0.18077728,-0.13312708,-0.07371814,-0.14848392,-0.043790694,0.22607346,-0.15326983,-0.06785528,-0.08001754
0.040460963,-0.16738912,0.15144204,0.06649311,0.26226926,0.43668687,-0.1338289,-0.24435847,0.010655333,0.1748106,0.07151335,-0.094869,-0.056734446,0.3792422,0.15693924,-0.14453828,-0.1468346,0.04524408,0.03907413,-0.16467965,0.31527314,-0.11379578,-0.17386246,0.16577247,0.047211356,0.32274503,0.2411172,-0.2864028,0.24421357,0.01313844,-0.25290063,-0.048818614,0.21366455,0.12645468,0.10523279,0.37294248,-0.068906955,0.1215896,-0.14588125,0.30557388,-0.028710788,-0.07790478,0.4054981,-0.06271099,0.20517619,0.16767125,0.13249102,0.08199189,0.08094799,-0.016088516,0.5498639,-0.007325773,0.24560884,0.5168384,0.017169729,0.24105348,-0.3322734,0.5935667,0.004392413,0.22875428,0.27470204,0.23614909,0.042195585,0.31016403,0.2762072,0.04622974,-0.08309429,0.22390865,-0.0568234,-0.0998079,-0.023462808,0.05347859,-0.083109096,-0.16846015,-0.0026938356,0.09934383,0.47633177,-0.11062712,0.09217556,-0.07441128,0.038232345,-0.10126944,-0.08335304,0.098070405,-0.05333077,-0.36354542,-0.35391256,-0.08263146,-0.041021325,-0.17122723,0.15858251,-0.46769902,-0.19635563,-0.058550175,-0.36782253,0.12654147,-0.029828437,0.19996987,-0.014278418,-0.048143055,0.34289375,0.22335444,-0.008618118,-0.13045195,0.02400899,-0.087130524,-0.22658865,0.053867284,0.15837567,-0.072634876,0.042073566,0.1358397,-0.10754005,0.17901348,-0.055411115,0.019532602,-0.35888222,0.23795792,-0.05024406,0.40217277,0.01873083,0.10337287,-0.13884528,-0.04375223
-0.18154855,0.093088955,0.15418817,0.021880688,0.007986661,0.55079794,0.1743105,0.046497215,-0.24364085,0.042420417,-0.02532779,0.057088707,0.022732344,0.32992426,0.103288844,-0.17865263,-0.030681465,0.11534093,0.123766735,0.18529052,0.009285008,-0.077462465,0.14201349,-0.11366958,-0.027630493,0.16112529,0.25858486,-0.31078318,-0.014303466,-0.21236826,-0.28214508,-0.35892466,0.110578045,0.23279138,0.30702063,-0.25221565,-0.12836467,0.16939971,0.04186719,0.19923061,-0.33150384,-0.26843926,-0.13420984,-0.07982407,0.092118576,0.030576326,-0.13907273,-0.021474674,0.09073686,-0.06947346,-0.3023831,-0.055503275,0.15702511,0.048519596,0.19493397,-0.02574304,0.05737472,0.30371422,0.075675525,0.21979138,-0.14186084,0.106487215,0.02218529,-0.12735553,0.22088942,0.009996558,-0.042233594,0.12338745,0.14861663,0.06571272,-0.21156542,-0.42952752,0.049019698,0.06896477,-0.08251471,0.23785396,0.07506551,0.23334785,-0.022971515,-0.20242147,-0.11165603,-0.283292,-0.015679684,0.0016679176,-0.040651157,-0.14333045,0.052173845,0.038132798,-0.121886484,0.26244387,-0.10964849,-0.024089701,-0.40521094,0.38144022,0.30625692,-0.33313867,0.05381622,0.117592655,0.01241659,0.1600205,-0.01658969,-0.19716907,-0.04351922,-0.285985,0.08199033,-0.14110519,-0.36500573,0.019442428,0.2623198,-0.1221728,-0.15505704,-0.016097656,0.013311078,-0.4155425,0.15340166,0.16605957,0.05900396,0.25032702,0.13365142,-0.35309318,0.057522457,-0.050879914,-0.21945658,0.11190478
0.1411295,0.10432906,-0.40513074,0.15942787,-0.048421293,0.12469642,0.14358935,0.27385196,-0.006745765,-0.020098617,0.19287623,0.20201813,0.14544053,0.044454172,0.19486736,0.17184532,-0.1696119,-0.22041835,0.03172664,-0.14617024,-0.00066576933,0.39552677,0.30629292,0.054478012,0.17604248,0.16467668,-0.034200605,0.027995018,0.02874964,0.30589125,-0.0026129892,-0.26123205,0.35176626,0.17590263,0.100118145,0.07642648,-0.12260316,0.020093542,-0.09827251,0.17509075,0.11445253,-0.07982987,-0.093199976,0.006881805,-0.12656951,0.010033912,0.046883803,0.13442503,-0.036744554,0.0021250239,-0.071468495,0.07630834,0.20184065,0.3003898,0.09706858,0.19515279,0.21859974,0.021738755,0.16354376,0.38024876,0.20735893,-0.014856919,0.3153341,-0.14339246,0.22970869,-0.08279745,0.31838578,0.20571102,0.27799743,0.18951356,0.37482035,0.3333653,0.09246867,-0.03944186,-0.053900436,-0.073714554,-0.043267235,0.22147185,0.36153024,0.06934843,0.17700772,0.3132896,0.0757007,-0.29172197,0.15210108,0.11485517,-0.10639242,0.2837255,0.25495064,0.48243734,0.021920832,0.3802222,0.16584659,-0.10814118,0.047353778,0.32114655,0.23558956,0.20642027,0.17583446,-0.035359967,0.2835957,0.101670526,0.122220635,-0.29323658,0.51519233,0.44074038,-0.20186105,0.086773,-0.031026945,-0.06277497,0.009487554,0.070866115,0.19764926,0.38876897,-0.16184567,0.15682301,0.1128125,0.1469439,0.003998894,-0.069212504,0.16868147,0.04077454,0.110221304,0.36872756
0.28039366,0.06295649,-0.23838858,-0.010868276,0.038581617,0.23659827,0.109962925,-0.38778004,-0.016052265,0.18458761,0.09079197,-0.06634044,0.2595005,0.38096264,-0.10483414,-0.20192704,-0.16385475,0.64418226,0.28738502,0.20626284,0.02022612,0.64645773,-0.20233037,0.24541198,0.038214043,0.13701728,0.031780653,-0.08473268,0.12291402,0.15259124,-0.051069852,0.44509396,-0.13236961,0.23692086,-0.050888315,0.11408279,0.2645773,-0.25466427,0.014712268,0.114585705,-0.086696915,0.20203394,-0.14938854,-0.12827884,0.06920155,-0.1084123,-0.014853758,-0.23445858,-0.1101462,-0.13535653,0.12698045,0.040710337,0.103994906,0.16386484,0.09654134,-0.009129643,-0.015293869,0.07982468,0.19739586,0.083353266,0.1053477,-0.051223174,0.4683575,-0.15735206,0.1615111,0.13375047,0.040847905,0.23709233,0.028014993,0.0667008,-0.10561594,0.13342439,0.022265859,0.14488205,0.15290694,0.10654557,-0.012995748,-0.23629437,0.056450784,0.016755449,0.057254635,-0.048137374,0.053185306,-0.26772672,0.03074186,0.007832177,-0.4901688,0.09363851,-0.039761692,0.000946914,-0.20001978,0.19502327,0.07475867,0.32915244,-0.022953074,0.0898308,-0.051963914,-0.011081205,0.03032207,-0.08948568,-0.13059358,-0.14651024,-0.06000863,0.23175846,0.1227559,0.14579767,0.012727118,-0.092752166,0.22107837,0.14757466,0.42570838,0.12010719,0.06291306,0.31810308,0.007342925,0.074276954,0.05468727,-0.1435589,0.4819661,-0.16768183,-0.30098164,-0.10632011,0.32851925,0.042569116
0.20653407,-0.021735083,0.10989984,0.12059628,0.46913096,0.60762197,-0.13349912,0.055057906,0.062253494,-0.011343399,-0.0085599655,0.13494107,1.0402627,0.38002875,0.031801533,0.3376457,0.07626131,0.09246234,0.344814,-0.030716185,0.2608306,0.1462999,0.38775277,0.0078030596,0.2778978,0.26405445,0.0697594,0.16393054,0.11182564,0.33597073,-0.2189556,0.715586,0.1811468,0.3926398,-0.08748612,0.056333072,0.45977128,0.17851268,0.043660767,0.11299089,0.109589264,0.19007508,0.16540836,0.26633826,0.28576428,-0.075463176,-0.09089563,0.16905816,0.48843077,0.29394758,0.56010437,0.11556175,0.16613455,-0.07614494,-0.13438284,0.06674523,0.08213732,0.060384125,0.059016433,0.37301657,0.20743175,0.41765672,0.39769685,0.2838461,0.29398105,0.35017478,0.12557498,0.004238743,-0.04716859,0.4087675,0.17282416,0.2827312,0.3281623,0.27047566,0.22973393,0.44661438,0.07922023,0.24557115,0.14090358,0.47286257,0.19465052,0.115388505,0.040943928,0.07035751,-0.12484813,0.13447982,-0.06505551,0.41414568,-0.052523047,0.20977888,0.12301589,0.1355519,0.026340593,-0.02815813,0.18516745,0.024865279,0.056677934,0.035713375,0.1500224,-0.11413674,0.23685057,0.28304878,-0.10123626,0.04847557,0.008932355,0.44562897,0.26638502,0.1723871,-0.14483994,0.21258666,0.7306846,0.080536895,0.19056252,0.3190646,0.3919154,-0.17085598,0.18216707,0.26033923,0.0773943,0.09019481,0.6251217,0.42936486,0.48770577,0.04335096
0.058591537,-0.013282485,0.053653207,-0.048304647,0.10034021,-0.17316467,-0.34582865,-0.0012464206,-0.25040737,-0.19325955,-0.17268415,-0.22761093,-0.19707005,0.032077957,-0.24798697,0.41074198,-0.11179391,0.07411137,0.07214743,-0.18030551,-0.167354,0.0035987915,0.21728523,-0.061530024,-0.07003273,-0.04367476,-0.20550035,0.06987768,-0.3152358,-0.13235037,-0.13722168,-0.23775055,0.016092889,0.047281075,-0.06574941,-0.1046684,-0.07492689,0.036249656,-0.26251176,-0.1335457,-0.18703702,-0.23914665,-0.23037271,-0.18559788,-0.3309644,-0.2335227,-0.11158398,-0.20598207,-0.36094812,0.18608227,-0.42023998,-0.19240056,-0.15023321,-0.12690662,-0.037684385,-0.31838566,-0.16710697,-0.1343603,0.022040898,-0.10044128,-0.15512884,-0.0016869452,0.13055186,-0.13971195,-0.030838696,0.029806491,0.06626597,0.013166842,0.043346845,-0.03960165,0.0055331755,-0.051273823,0.07708867,0.091213994,0.03260989,0.03617326,-0.13264929,-0.34693828,0.017099127,-0.10909392,0.07307169,0.22683838,0.032958318,-0.24615265,-0.53046405,-0.017369516,-0.19463211,-0.26255944,0.05964113,0.09454315,-0.034047328,-0.2573987,0.17933092,-0.058111887,-0.13703276,0.15983535,-0.24092454,-0.2670244,-0.25012854,0.058203474,-0.2674912,-0.089101896,0.18256742,0.03959128,-0.03925299,-0.372992,-0.063550025,-0.23042989,0.011514596,-0.14732602,0.10606434,-0.07968596,-0.4610045,0.27412787,-0.40713763,0.11360252,-0.019511357,-0.10708996,-0.29296786,-0.18886523,0.08099018,0.06591939,0.18724482,-0.15532401
