,train,test
0,tensor(4.1206),tensor(7.0928)
1,tensor(4.1346),tensor(7.0903)
2,tensor(4.1187),tensor(7.0864)
3,tensor(4.1285),tensor(7.0822)
4,tensor(4.1132),tensor(7.0779)
5,tensor(4.1082),tensor(7.0738)
6,tensor(4.0998),tensor(7.0699)
7,tensor(4.1160),tensor(7.0663)
8,tensor(4.0913),tensor(7.0624)
9,tensor(4.0942),tensor(7.0585)
10,tensor(4.0976),tensor(7.0548)
11,tensor(4.0885),tensor(7.0514)
12,tensor(4.0853),tensor(7.0481)
13,tensor(4.0855),tensor(7.0448)
14,tensor(4.0813),tensor(7.0416)
15,tensor(4.0778),tensor(7.0384)
16,tensor(4.0672),tensor(7.0353)
17,tensor(4.0606),tensor(7.0320)
18,tensor(4.0658),tensor(7.0288)
19,tensor(4.0685),tensor(7.0262)
20,tensor(4.0506),tensor(7.0234)
21,tensor(4.0599),tensor(7.0205)
22,tensor(4.0537),tensor(7.0176)
23,tensor(4.0559),tensor(7.0147)
24,tensor(4.0510),tensor(7.0120)
25,tensor(4.0391),tensor(7.0093)
26,tensor(4.0451),tensor(7.0067)
27,tensor(4.0454),tensor(7.0043)
28,tensor(4.0447),tensor(7.0019)
29,tensor(4.0390),tensor(6.9997)
30,tensor(4.0233),tensor(6.9974)
31,tensor(4.0750),tensor(6.9960)
32,tensor(4.0348),tensor(6.9942)
33,tensor(4.0253),tensor(6.9921)
34,tensor(4.0400),tensor(6.9902)
35,tensor(4.0566),tensor(6.9886)
36,tensor(4.0403),tensor(6.9870)
37,tensor(4.0234),tensor(6.9850)
38,tensor(4.0185),tensor(6.9831)
39,tensor(4.0301),tensor(6.9814)
40,tensor(4.0247),tensor(6.9798)
41,tensor(4.0172),tensor(6.9782)
42,tensor(4.0109),tensor(6.9765)
43,tensor(4.0046),tensor(6.9749)
44,tensor(4.0188),tensor(6.9736)
45,tensor(4.0178),tensor(6.9722)
46,tensor(4.0204),tensor(6.9710)
47,tensor(4.0168),tensor(6.9697)
48,tensor(4.0213),tensor(6.9683)
49,tensor(4.0059),tensor(6.9670)
50,tensor(4.0151),tensor(6.9657)
51,tensor(4.0068),tensor(6.9644)
